WL,AuAg_90_140822
200,2.733
201,2.6
202,2.453
203,2.35
204,2.247
205,2.157
206,2.069
207,1.989
208,1.913
209,1.83
210,1.754
211,1.68
212,1.605
213,1.529
214,1.453
215,1.379
216,1.306
217,1.238
218,1.171
219,1.112
220,1.055
221,1.001
222,0.953
223,0.91
224,0.872
225,0.838
226,0.808
227,0.784
228,0.764
229,0.747
230,0.734
231,0.725
232,0.718
233,0.714
234,0.712
235,0.712
236,0.714
237,0.718
238,0.723
239,0.73
240,0.737
241,0.745
242,0.754
243,0.764
244,0.775
245,0.785
246,0.796
247,0.807
248,0.817
249,0.828
250,0.838
251,0.847
252,0.856
253,0.866
254,0.874
255,0.881
256,0.888
257,0.894
258,0.899
259,0.902
260,0.905
261,0.907
262,0.908
263,0.908
264,0.906
265,0.904
266,0.9
267,0.894
268,0.888
269,0.88
270,0.873
271,0.864
272,0.853
273,0.841
274,0.829
275,0.814
276,0.8
277,0.785
278,0.769
279,0.752
280,0.735
281,0.717
282,0.699
283,0.682
284,0.664
285,0.645
286,0.627
287,0.609
288,0.591
289,0.573
290,0.556
291,0.54
292,0.524
293,0.509
294,0.494
295,0.48
296,0.467
297,0.454
298,0.443
299,0.433
300,0.423
301,0.415
302,0.406
303,0.399
304,0.392
305,0.386
306,0.381
307,0.376
308,0.372
309,0.368
310,0.365
311,0.362
312,0.36
313,0.359
314,0.358
315,0.358
316,0.358
317,0.359
318,0.359
319,0.361
320,0.363
321,0.365
322,0.368
323,0.371
324,0.375
325,0.378
326,0.381
327,0.386
328,0.389
329,0.393
330,0.397
331,0.4
332,0.404
333,0.407
334,0.411
335,0.413
336,0.416
337,0.419
338,0.422
339,0.425
340,0.428
341,0.43
342,0.432
343,0.434
344,0.439
345,0.439
346,0.441
347,0.441
348,0.446
349,0.446
350,0.448
351,0.45
352,0.452
353,0.454
354,0.456
355,0.457
356,0.457
357,0.46
358,0.463
359,0.465
360,0.466
361,0.467
362,0.468
363,0.47
364,0.471
365,0.472
366,0.473
367,0.473
368,0.475
369,0.475
370,0.476
371,0.477
372,0.478
373,0.479
374,0.48
375,0.48
376,0.48
377,0.481
378,0.481
379,0.481
380,0.482
381,0.482
382,0.482
383,0.482
384,0.482
385,0.482
386,0.482
387,0.482
388,0.482
389,0.481
390,0.481
391,0.48
392,0.48
393,0.48
394,0.479
395,0.479
396,0.478
397,0.478
398,0.477
399,0.477
400,0.476
401,0.476
402,0.475
403,0.474
404,0.474
405,0.473
406,0.472
407,0.472
408,0.471
409,0.47
410,0.469
